pclass,survived,sex,age,sibsp,parch
1056,3,0,0,3.0,3,1
1057,3,0,0,8.0,3,1
1058,3,0,0,29.0,0,4
1059,3,0,1,1.0,4,1
1060,3,0,1,7.0,4,1
1061,3,0,1,2.0,4,1
1062,3,0,1,16.0,4,1
1063,3,0,1,14.0,4,1
1064,3,0,0,41.0,0,5
1065,3,0,1,21.0,0,0
1066,3,0,1,19.0,0,0
1068,3,0,1,32.0,0,0
1069,3,0,1,0.75,1,1
1070,3,0,0,3.0,1,1
1071,3,0,0,26.0,0,2
1075,3,0,1,21.0,0,0
1076,3,0,1,25.0,0,0
1077,3,0,1,22.0,0,0
1078,3,1,1,25.0,1,0
1083,3,0,1,24.0,0,0
1084,3,0,0,28.0,0,0
1085,3,0,1,19.0,0,0
1087,3,0,1,25.0,1,0
1088,3,0,0,18.0,0,0
1089,3,1,1,32.0,0,0
1091,3,0,1,17.0,0,0
1092,3,0,1,24.0,0,0
1097,3,0,1,38.0,0,0
1098,3,0,1,21.0,0,0
1099,3,0,1,10.0,4,1
1100,3,0,1,4.0,4,1
1101,3,0,1,7.0,4,1
1102,3,0,1,2.0,4,1
1103,3,0,1,8.0,4,1
1104,3,0,0,39.0,0,5
1105,3,0,0,22.0,0,0
1106,3,0,1,35.0,0,0
1110,3,0,1,50.0,1,0
1111,3,0,0,47.0,1,0
1114,3,0,0,2.0,1,1
1115,3,0,1,18.0,1,1
1116,3,0,0,41.0,0,2
1118,3,0,1,50.0,0,0
1119,3,0,1,16.0,0,0
1123,3,0,1,25.0,0,0
1127,3,0,1,38.5,0,0
1129,3,0,1,14.5,8,2
1139,3,0,1,24.0,0,0
1140,3,1,0,21.0,0,0
1141,3,0,1,39.0,0,0
1145,3,1,0,1.0,1,1
1146,3,1,0,24.0,0,2
1147,3,1,0,4.0,1,1
1148,3,1,1,25.0,0,0
1149,3,0,1,20.0,0,0
1150,3,0,1,24.5,0,0
1154,3,1,1,29.0,0,0
1159,3,0,1,22.0,0,0
1161,3,0,1,40.0,0,0
1162,3,0,1,21.0,0,0
1163,3,1,0,18.0,0,0
1164,3,0,1,4.0,3,2
1165,3,0,1,10.0,3,2
1166,3,0,0,9.0,3,2
1167,3,0,0,2.0,3,2
1168,3,0,1,40.0,1,4
1169,3,0,0,45.0,1,4
1175,3,0,1,19.0,0,0
1176,3,0,1,30.0,0,0
1178,3,0,1,32.0,0,0
1180,3,0,1,33.0,0,0
1181,3,1,0,23.0,0,0
1182,3,0,1,21.0,0,0
1183,3,0,1,60.5,0,0
1184,3,0,1,19.0,0,0
1185,3,0,0,22.0,0,0
1186,3,1,1,31.0,0,0
1187,3,0,1,27.0,0,0
1188,3,0,0,2.0,0,1
1189,3,0,0,29.0,1,1
1190,3,1,1,16.0,0,0
1191,3,1,1,44.0,0,0
1192,3,0,1,25.0,0,0
1193,3,0,1,74.0,0,0
1194,3,1,1,14.0,0,0
1195,3,0,1,24.0,0,0
1196,3,1,1,25.0,0,0
1197,3,0,1,34.0,0,0
1198,3,1,1,0.4167,0,1
1202,3,1,0,16.0,1,1
1206,3,0,1,32.0,0,0
1209,3,0,1,30.5,0,0
1210,3,0,1,44.0,0,0
1212,3,1,1,25.0,0,0
1214,3,1,1,7.0,1,1
1215,3,1,0,9.0,1,1
1216,3,1,0,29.0,0,2
1217,3,0,1,36.0,0,0
1218,3,1,0,18.0,0,0
1219,3,1,0,63.0,0,0
1221,3,0,1,11.5,1,1
1222,3,0,1,40.5,0,2
1223,3,0,0,10.0,0,2
1224,3,0,1,36.0,1,1
1225,3,0,0,30.0,1,1
1227,3,0,1,33.0,0,0
1228,3,0,1,28.0,0,0
1229,3,0,1,28.0,0,0
1230,3,0,1,47.0,0,0
1231,3,0,0,18.0,2,0
1232,3,0,1,31.0,3,0
1233,3,0,1,16.0,2,0
1234,3,0,0,31.0,1,0
1235,3,1,1,22.0,0,0
1236,3,0,1,20.0,0,0
1237,3,0,0,14.0,0,0
1238,3,0,1,22.0,0,0
1239,3,0,1,22.0,0,0
1243,3,0,1,32.5,0,0
1244,3,1,0,38.0,0,0
1245,3,0,1,51.0,0,0
1246,3,0,1,18.0,1,0
1247,3,0,1,21.0,1,0
1248,3,1,0,47.0,1,0
1252,3,0,1,28.5,0,0
1253,3,0,1,21.0,0,0
1254,3,0,1,27.0,0,0
1256,3,0,1,36.0,0,0
1257,3,0,1,27.0,1,0
1258,3,1,0,15.0,1,0
1259,3,0,1,45.5,0,0
1262,3,0,0,14.5,1,0
1264,3,0,1,26.5,0,0
1265,3,0,1,27.0,0,0
1266,3,0,1,29.0,0,0
